t1 t10 t100 t1000 t10000 ws wd th hh adj fireError maxSimulatedTime parallelizationLevel executionTime predictionFile 
 12   8   8  51  97   37   32  44  90  0.9  0.026623    1350      1     54 ../fire-scenarios/jonquera/output/shape_9_151.shp
  9  13  12  29  82   33   33  44  90  0.5  0.039693    1350      1     50 ../fire-scenarios/jonquera/output/shape_9_153.shp
 12  13  12  29  82   33   33  44  90  0.2  0.030590    1440      1     31 ../fire-scenarios/jonquera/output/shape_9_154.shp
  7  13  12  29  82   33   12  44  90  0.2  0.124841    1320      1    181 ../fire-scenarios/jonquera/output/shape_9_147.shp
  7  13  12  70  82   33  356  44  94  0.5  0.042868     240      1     60 ../fire-scenarios/jonquera/output/shape_10_156.shp
 12   8  12  70  82   33   33  44  94  0.9  0.044185    1440      1     69 ../fire-scenarios/jonquera/output/shape_10_155.shp
 11  13  12  29  82   33  356  44  90  0.2  0.047710     240      1     60 ../fire-scenarios/jonquera/output/shape_10_162.shp
 11  13  12  30  82   33   12  42  94  0.4  0.116813    1380      1    123 ../fire-scenarios/jonquera/output/shape_10_161.shp
  5  13  12  29  82   33  356  50  90  0.2  0.042618     210      1     56 ../fire-scenarios/jonquera/output/shape_10_164.shp
  9  13  12  35  82   37  356  44  94  0.5  0.049443     240      1     51 ../fire-scenarios/jonquera/output/shape_10_165.shp
  9  14  12  70  82   37   12  44  94  0.5  0.098592    1380      1    107 ../fire-scenarios/jonquera/output/shape_10_166.shp
  7   7  10  29  82   33   12  44  90  0.2  0.118100    1260      1    308 ../fire-scenarios/jonquera/output/shape_10_157.shp
 15   8   4  31  86  124  219  32  97  0.2  0.000708    1830      1     24 ../fire-scenarios/jonquera/output/shape_1_26.shp
 11  15   9  70  81  112  325  50  49  1.2  0.002206     240      1     31 ../fire-scenarios/jonquera/output/shape_1_27.shp
 14   3   2  24  73   22   77  33  82  0.6  0.003403     270      1     31 ../fire-scenarios/jonquera/output/shape_1_29.shp
  4  15   8  60  82  102  140  35  81  0.7  0.001628    1830      1     10 ../fire-scenarios/jonquera/output/shape_1_32.shp
  2   3   9  46  82  137  196  31  64  1.3  0.001649    1830      1     17 ../fire-scenarios/jonquera/output/shape_1_31.shp
  8  13  12  29 100   41   33  44  94  0.9  0.021310    1500      1     68 ../fire-scenarios/jonquera/output/shape_1_28.shp
 15  11  14  54 100   37   65  42  37  0.7  0.000292     240      1     44 ../fire-scenarios/jonquera/output/shape_1_34.shp
